What does “academic success” mean to you?,How would you describe your academic goals right now?,How would you describe your academic goals right now?,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Family,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Professors/Advisors/Mentors,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Friends/Peers,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - School culture,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Community expectations,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Social Media,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Career goals,Where do you think your ideas about academic success come from? Please rank them in order of most influential (1 = most influential; 8 = least influential). - Individual experiences,Do you ever feel pressure to succeed academically?,Where does that academic pressure come from?,Where does that academic pressure come from?,Why do you NOT feel pressure to succeed academically?,How does that pressure make you feel?,How does that pressure make you feel?,Do you feel like you have the resources and support you need to achieve academic success?,Why do you feel this way?,Why not?,Does the amount of resources available to you effect how others see your academic potential?,"If you did not do well academically, how much do you think it would effect your future?","OPTIONAL: In what ways, specifically, would this effect your future?",How do you usually feel when you do well in school?,What about when you struggle academically? How do you feel then?,What are you proud of from your most recent school year?,What year of college are you currently in?,What type of school do you go to?,Are you receiving financial aid?,"Thinking back to high school, was the college you are currently attending one of your top three choices?","In high school, where would you situate yourself from an academic standpoint?",Is your current career ambitions the same as you had envisioned in high school?,Is there anything else you would like to share?,"Think of this ladder as representing where people stand in the United States. 
The ladder has 10 rungs. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. 

      

      Now think about your family.
Indicate the rung where you think you stand at this time in your life relative to other people in the United States.","Think of this ladder as representing where people stand in their communities. 
The ladder has 10 rungs. People define community in different ways; please define it in whatever way is most meaningful to you. At the top of the ladder are people who have the highest standing in their community. At the bottom are the people who have the lowest standing in their community. 


      Where would you place yourself on this ladder?
Indicate the rung that best represents where you would be on this ladder."
Maintaining consistent good grades,"Getting good grades,Time management,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,1,4,7,5,6,8,2,3,Yes,Myself,,,Both,,Yes,I feel this way because I want to do my best,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat less,I don't think it would affect my future too much,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous","Performance in sports,Tests,Projects,Major assignments,Time management,Impressing your parents/guardians,Attaining top grades,Awards/Recognition,Independent Studies/Passion Projects,Extracurriculars/Clubs",Third year or equivalent,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,7
"For me, academic success means putting in your all to do everything I can to do well. It means actually learning and retaining what you are studying. ","Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,2,3,8,7,6,5,4,1,Yes,Myself,,,Stressed,,No,,My school doesn't provide actual resources that help. The resources seem fake and not genuine. ,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Much more,I wouldn't be able to actually pursue my dream career. It would set me back. ,"Happy,Relieved,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Major assignments,Attaining top grades",Fourth year of equivalent,Private institution,No,No,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",N/A,6,7
Academic success to me means that you are excelling in schooling whether it be through getting good grades or getting some sort of fulfillment with extracurricular activities or the learning process that may or may not help you career-wise.,"Balancing stress,Pursuing knowledge/answers,Other",My current goals are a little on the lax side. I'm just trying to learn for the sake of learning. Like currently learning 3D animation so that I will be able to animate my own zombie TV series.,2,5,4,8,6,7,3,1,Yes,Family,,,Both,,Yes,"If I wanted to go back to school, my grandfather would do anything in his power to make it so I'm able to go back. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would just not be motivating to me.,"Happy,Relieved,Proud,Stressed","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck",Impressing your parents/guardians,I am currently not in college,Online institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,2,2
Academic success means getting a good GPA and understanding content.,"Getting good grades,Balancing stress,Grad/professional school preparation,Pursuing knowledge/answers",,2,5,7,4,6,8,1,3,Yes,Family,,,Stressed,,Yes,I feel like I come from a good enough background for these to be met,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Bad GPA means I cannot go to the grad school i want,"Happy,Relieved,Gratified,Proud","Annoyed,Stressed,Anxious,Nervous","Tests,Time management,Attaining top grades",Third year or equivalent,Private institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,9,8
Successfully completing classes and assignments and achieving good grades.  Actually learning the materials instead of memorizing for exams and forgetting when the class is over,"Getting good grades,Time management,Grad/professional school preparation,Pursuing knowledge/answers",,6,3,2,4,7,8,5,1,Probably yes,Myself,,,Both,,Yes,Because this is my second time attending college and I feel I have the necessary tools and experience. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I would not be able to advance my career and increase my earnings.  I would not be able to move on to more interesting work ,"Happy,Proud","Annoyed,Stressed,Stuck","Major assignments,Balancing stress,Attaining top grades,Independent Studies/Passion Projects,Internship/Career-oriented work",Third year or equivalent,Private institution,No,No,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",Nope,4,4
"Academic success is achieving your goals that you set, without detrimenting your own mental health. ","Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Internships/co-ops,Pursuing knowledge/answers",,4,8,3,5,7,1,2,6,Yes,Family,,,Both,,Like somewhat,"I feel I am given everything I need to succeed, I am just failing to meet expectations from myself and people around me. ",,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,It would prevent me from landing a well paying job. ,"Happy,Relieved,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck",Nothing on this list stands out,Third year or equivalent,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,7,6
Being able to obtain a college degree by fulfilling all class requirements and getting a degree that is useful in the job market.,"Getting good grades,Career preparation,Pursuing knowledge/answers",,2,6,7,4,3,8,5,1,Yes,Myself,,,Both,,Yes,"I have family support which is most important to me and I have the time and resources at this time to make it happen, fortunately.",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would effect my ability to change my career which I need to do as I go into the latter part of my life. It would affect my earning potential.,"Relieved,Gratified,Proud","Confused,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Attaining top grades",Third year or equivalent,Public institution,Yes,No,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",I am returning to college late in life; I am very fortunate to be able to do so.,5,5
it means that you find a way to balance your life and school at the same time in a successful way. ,"Time management,Balancing stress",,7,5,4,6,8,3,2,1,Yes,Family,,,Both,,Yes,"I have all the sources from my school to be able to find help from different teachers, or other departments like psychological or financial help.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat less,It would delay my other goals to get a post graduate degree. ,"Happy,Proud,Anxious","Stressed,Stuck","Major assignments,Time management,Independent Studies/Passion Projects",Second year or equivalent,Private institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,5,5
Academic success means a degree achieved with a high GPA or references to showcase that the information was learned. ,"Getting good grades,Pursuing knowledge/answers",,1,5,8,6,2,7,3,4,Yes,Family,,,Stressed,,Yes,"I want to succeed, but I feel guilty for not achieving my expectations from family. ",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,"I don't know if I want to pursue anything heavier as far as a career goal, but if I don't get an education I won't be able to get too high without a degree","Happy,Relieved,Proud","Annoyed,Anxious,Nervous",Internship/Career-oriented work,Third year or equivalent,Online institution,Yes,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,7,7
academic success means thriving in school; getting good grades and also learning,"Career preparation,Time management,Balancing stress",,1,3,5,4,7,8,2,6,Yes,Myself,,,Both,,Yes,I am  in a programw ith many mentors to reach out to if there is a topic I am not understanding.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Being academically unsuccessful closes many doors.,Happy,Angry,Major assignments,Second year or equivalent,Online institution,Yes,No,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,8,8
Academic Success means going above and beyond in your academics and ensuring you complete everything you are asked.,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,1,2,5,8,6,7,3,4,Yes,Family,,,Both,,Yes,My school currently offers a lot of academic help if I were to be struggling.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,I feel like I would be a failure and it would be hard for me to obtain jobs.,"Happy,Proud,Anxious,Stressed,Confused","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Time management,Attaining top grades,Awards/Recognition",Fourth year of equivalent,Online institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,6
Academic success means having a good grade point average and earning a degree that allows you to obtain a job. ,"Getting good grades,Career preparation,Pursuing knowledge/answers",,1,3,8,6,2,7,5,4,Yes,Family,,,Both,,Yes,I feel like I have been given opportunities that allow me to be less worried about finances FAFSA paid for my associates degree. My school also offers tuition forgiveness if you are not able to afford a semester of classes. The college that I attend also provides a pantry where students who are struggling to buy groceries can pick out food items to take home. There are tutors free of charge as well. The school allows me to be able to grow and learn without worrying as much about food and money. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,Without academic success my future would be affected because my opportunities would be more limited. Your academic credentials are part of what people look into when hiring and it can make a difference between being a candidate for a job or not. ,"Happy,Relieved,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck",Time management,Third year or equivalent,Community college,Yes,Yes,None of these choices are applicable to me,"NO, my career ambitions have changed A LOT from when I was in high school",No,4,4
"To me, academic success means self-growth, discipline and excelling in the field of study that I have chosen.","Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,3,2,6,4,7,8,5,1,Yes,Myself,,,Motivated,,Yes,Because I have set the high bars for myself,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It would alter my focus,"Happy,Dignified,Proud","Angry,Stressed,Nervous","Major assignments,Attaining top grades,Independent Studies/Passion Projects",Third year or equivalent,Public institution,No,,Top 75% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",No,6,7
 means getting good grades,Getting good grades,,6,3,7,5,8,4,1,2,Probably yes,Career Goals,,,Both,,Yes,because a times i feel yes i need to succeed acadamically and at the same time am stressed  how to succeed.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,"
Good grades, certifications or degrees often serve as entry requirements for many careers. Employers use them as initial filters.",Happy,Annoyed,Attaining top grades,Fourth year of equivalent,Online institution,No,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",no,7,7
"No debt, complete degree in 4 years.","Getting good grades,Balancing stress",,1,2,5,7,6,8,4,3,Yes,Family,,,Stressed,,Like somewhat,I feel i don't have the time to take advantage of those opportunities.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Somewhat more,not getting a job,"Happy,Relieved","Anxious,Nervous",Independent Studies/Passion Projects,Fourth year of equivalent,Public institution,No,Yes,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,6,4
Means having gotten more education than the bare minimum (Associates) and ensuring you had good grades. ,"Getting good grades,Grad/professional school preparation,Pursuing knowledge/answers",,1,3,8,4,6,5,2,7,Probably yes,Myself,,,Both,,Yes,Because I have been guided most of my childhood how to get to where I want. Especially academically.,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",About the same,I’m not sure. I could stay in the same low paying position. Or get a career in the field I love but start from the bottom with low pay. ,"Happy,Relieved,Gratified,Proud","Annoyed,Stressed,Anxious,Nervous","Balancing stress,Impressing your parents/guardians,Awards/Recognition",Fourth year of equivalent,Private institution,Yes,No,I cannot remember,"NO, my career ambitions have changed A LITTLE from when I was in high school",No,7,4
Academic success means consistently reaching my learning goals and achieving good grades in my studies.,"Getting good grades,Career preparation,Balancing stress,Pursuing knowledge/answers",,1,2,6,3,7,8,4,5,Maybe,,,,Both,,Yes,"I always have access to helpful teachers, learning tools, and my family who encourages me every day.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It could make it harder for me to get decent jobs that should match my skills and reach my goals.,"Happy,Relieved,Gratified,Proud","Confused,Stressed,Nervous,Stuck","Projects,Major assignments,Balancing stress,Attaining top grades,Internship/Career-oriented work",Fourth year of equivalent,Community college,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",No comment,6,4
WELL EDUCATED,Time management,,1,3,2,7,5,8,6,4,Maybe,,,,Both,,Like somewhat,hard to adjust with social pressure,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",About the same,depends on what industry you are in,"Anxious,Stressed",Angry,Time management,I am currently not in college,Public institution,No,No,I cannot remember,I don't remember what my career ambitions where in high school,no,5,5
"It means achieving the results you wanted to accomplish through study and application of the studies towards a goal, dream or pursuit. Finding success through growth in knowledge.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,7,1,6,2,5,8,3,4,Yes,Career Goals,,,Both,,Yes,"I have more opportunity than ever before through both networking and the applications of AI to reach my full potential. I have grown in learning, and understand not knowing how to proceed is just another challenge that needs overcome, and not let it paralyze you.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,"It could deter me, make me feel I have not striven enough or tried hard enough. It comes down to my personal views, if I feel like I'm going to fail, I will. If I push to excel and find alternate routes to gain success, that is my choice. It all comes down to how much I really want to achieve a goal and meet or exceed my expectations and how I accept limitations or overcome them.","Happy,Relieved,Proud","Stressed,Anxious,Nervous","Projects,Time management,Balancing stress,Independent Studies/Passion Projects,Internship/Career-oriented work",Second year or equivalent,Online institution,No,No,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school","From high school to now, so much has changed, and I have come to find, learning, education should not be something we ever see as finished. We have so many more opportunities to learn more than we have ever had in history. I'm going to take advantage of that in my career and goals.",5,5
passing academics with high marks only A's,Getting good grades,,4,3,5,6,8,7,1,2,No,,,because i can only dissapoint myself and waste my own time if i do poorly ,Motivated,,Yes,i have all the tools i need but anyone can have the tools they need if they have a goal ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,lack of ambition as a whole will demotivate anyone ,Gratified,I do not relate to any of these feelings,"Time management,Attaining top grades",Fourth year of equivalent,Online institution,Yes,No,Top 1% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",N/A,9,9
"It is simply an accomplishment beyond grades, like skills and goals","Career preparation,Time management,Extracurriculars/Clubs,Grad/professional school preparation,Pursuing knowledge/answers",,1,4,5,6,8,7,2,3,No,,,Because I think it's my cross to bare,Both,,Yes,They are necessary to propel success,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,The opportunities would be scarce and I won't be able to compete effectively,"Happy,Gratified,Dignified,Proud","Annoyed,Stressed,Nervous,Stuck","Time management,Independent Studies/Passion Projects",Fourth year of equivalent,Online institution,No,Yes,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",None,6,6
To me academic success in not just about getting top grades or perfect test scores though those can be part of it and its more about truly understanding what i am learning and being able to apply in real life,"Getting good grades,Career preparation,Time management,Balancing stress",,3,7,5,6,4,8,2,1,Maybe,,,,Motivated,,Yes,Because i had down some times in my academic success hence i need support to achieve the academic success,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Defiantly it will be effect my future to achieve my carrier growth and personal life ,Happy,"Confused,Angry,Stressed","Projects,Impressing your parents/guardians,Awards/Recognition",Fourth year of equivalent,Public institution,No,Yes,Top 75% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",No,6,5
"To me, academic success means I understand the material I am being taught in class. That I am able to pass exams and quizzes with high grades. Academic success means I have A’s and B’s on my transcript and at least a 3.5 GPA. Academic success means my teachers know who I am because I participate and try to be a model student. ","Getting good grades,Career preparation,Time management,Pursuing knowledge/answers",,1,5,6,4,8,7,3,2,Yes,Myself,,,Motivated,,Yes,I attend UIC and I know I have all sorts of resources available to me. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I’d feel like a failure. If I didn’t do well academically. I’d hope I still graduate but it wouldn’t feel right if I didn’t overachieve. ,"Happy,Relieved,Dignified,Proud","Stressed,Anxious,Nervous","Tests,Attaining top grades,Awards/Recognition",Third year or equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school","Regarding my career ambitions, I have an AA in Business Administration and transferred to UIC to attain a BA in Urban Education.",4,2
"It means doing well in college, but also feeling like you actually retained the material. ","Career preparation,Internships/co-ops,Pursuing knowledge/answers",,6,3,2,4,7,8,5,1,Yes,Myself,,,Both,,Yes,"There are so many things readily available on the internet, and I have the tools I need to access them. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,If you did not do well it could be that you do not understand or are not retaining the information. ,"Happy,Relieved,Gratified,Dignified,Proud,Stressed","Confused,Annoyed,Angry,Stressed,Anxious,Nervous","Time management,Balancing stress",Fourth year of equivalent,Public institution,Yes,,Top 75% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,5,6
"""Academic success"" means getting good grades and pursuing the education I want to achieve. It involves obtaining the required experience that would make it easier to work in the career that I am currently trying to get. It involves knowing my limits and what I am able to do.","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops",,6,7,2,4,5,8,1,3,Yes,Myself,,,Both,,Like somewhat,I feel this way because I have difficulty assessing what resources I would need versus what I do have. It is difficult to gauge these resources sometimes because I feel the pressure of stress pretty frequently.,,"Yes, I have access to sufficient resources, and I DO NOT feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they believe that I cannot achieve because I do not have the means to)",Much more,This would affect my future because it would be even more difficult to achieve my education. I would have a harder time getting the grades I need to pass my classes.,"Relieved,Dignified,Anxious,Stressed","Confused,Annoyed,Angry,Anxious,Nervous,Stuck","Tests,Major assignments,Balancing stress,Independent Studies/Passion Projects",Third year or equivalent,Public institution,Yes,,Top 25% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,6,5
getting good grades,"Getting good grades,Career preparation,Grad/professional school preparation,Internships/co-ops,Pursuing knowledge/answers",,8,1,5,2,3,7,4,6,Yes,Culture,,,Stressed,,Like somewhat,I don't have enough resources or support personally,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",Somewhat more,I need to be able to get a good job,"Happy,Relieved,Proud","Angry,Stressed,Anxious,Nervous,Stuck","Attaining top grades,Independent Studies/Passion Projects",Fourth year of equivalent,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",no,2,2
"To me, academic success means acquiring academic degrees. ","Career preparation,Pursuing knowledge/answers",,2,7,8,5,3,6,1,4,Yes,Myself,,,Both,,Yes,"I have personal goals for financial success, which require academic success. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,It may take me longer to achieve my financial goals by delaying the type of job I get.,"Dignified,Proud,Anxious,Stressed","Annoyed,Stressed,Anxious,Nervous,Stuck","Balancing stress,Attaining top grades,Internship/Career-oriented work",I am currently not in college,Public institution,Yes,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,5
to be a strong academic student and get good grades,"Getting good grades,Career preparation,Time management,Balancing stress,Extracurriculars/Clubs,Grad/professional school preparation",,4,5,6,1,7,8,3,2,Yes,Myself,,,Both,,Yes,I have a very supportive environment around me ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Much more,my self esteem and future goals ,"Happy,Relieved,Gratified,Dignified,Proud","Confused,Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Time management,Impressing your parents/guardians,Service,Internship/Career-oriented work",Second year or equivalent,Public institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",n/a,6,6
Academic success is when a student pursues their classes to the best of their abilities and then succeed strongly.,"Getting good grades,Career preparation,Time management,Balancing stress,Grad/professional school preparation",,8,7,6,2,1,5,3,4,Yes,Myself,,,Both,,Yes,I have support from family and friends and I try hard and put in my all.,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I just wouldnt necessarily get into the programs i want but im sure i could still find a way to make my future full of purpose.,"Happy,Gratified,Dignified,Proud","Annoyed,Angry,Stressed,Anxious,Nervous,Stuck","Tests,Attaining top grades",Third year or equivalent,Private institution,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,9,8
"To me, academic success means more than just getting good grades. It's about truly understanding the material and learning how to apply it to real-world situations, It's about developing valuable skills-like critical thinking, problem-solving, and communication-that will prepare me for my career. Success is walking away with a solid foundation of knowledge that makes me feel confident and capable heading into the workforce. ","Getting good grades,Career preparation,Time management,Balancing stress,Internships/co-ops,Pursuing knowledge/answers",,3,4,5,6,7,8,1,2,Yes,Career Goals,,,Both,,Yes,"My motivation comes directly from my career goals, which I ranked as the most important influence. I see a clear connection between doing well in my classes now and being able to build a successful, stable career for myself after graduation. This makes the hard work feel purposeful. My individual experiences have also shown me that I can handle challenging coursework, which gives me the confidence that I have what it takes to meet my goals. At the same time, this focus creates a lot of stress. ",,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,Not being able to reach the career goals I have set for myself. ,Happy,Stressed,"Attaining top grades,Independent Studies/Passion Projects,Internship/Career-oriented work",Fourth year of equivalent,Private institution,No,Yes,Top 75% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,6,6
Growing in knowledge and skills while maintaining well-being and preparing for the future.,"Career preparation,Time management,Pursuing knowledge/answers",,1,4,6,5,8,7,2,3,Maybe,,,,Both,,Yes,"I see the cup half full, so I tend to work with the little resources I have.",,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,It would affect me in the way that I will not be able to continue with my career and dream job.,"Happy,Relieved,Proud","Annoyed,Stressed,Anxious,Nervous,Stuck","Time management,Attaining top grades,Awards/Recognition",I am currently not in college,Other,No,No,Top 50% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",I completed High school graduate - high school diploma or the equivalent (for example: GED),3,4
it means good  grades and learning the material,"Getting good grades,Time management,Internships/co-ops,Pursuing knowledge/answers",,6,1,3,4,5,8,7,2,Yes,Myself,,,Stressed,,Like somewhat,I feel stressed because of all the things I am expected to do and acomplish. ,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,My academic success directly affects if I will be struggling in my future,Relieved,"Angry,Stressed,Anxious,Nervous,Stuck",Attaining top grades,Second year or equivalent,Public institution,No,Yes,Top 75% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,2,4
to achieve skills in order to get my job,Pursuing knowledge/answers,,3,4,5,6,7,8,2,1,Yes,Myself,,,Both,,Like somewhat,because sometimes i have to spend a lot to get the materials that i want and i cant afford them,,"No, I do not have access to sufficient resources and thus feel inadequately prepared to achieve my version of success. This DOES NOT affect how others see my academic potential.",About the same,"i am already covering subjects that are not teached at my college, so i think i can still be successful",Happy,"Stressed,Anxious",Time management,First year or equivalent,Public institution,No,,Top 10% of the class,"YES, my career ambitions have REMAINED THE SAME from when I was in high school",,5,4
It means having a high degree education that can guarantee a good career in life ,"Career preparation,Time management",,1,5,7,6,4,8,2,3,No,,,I take things at my own pace and realize that with patience and dedication I can do it ,Other,Nothing,Yes,I have people and resources such as books and the internet to look up the things that I need,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I could get a better job,"Happy,Gratified,Proud",I do not relate to any of these feelings,"Attaining top grades,Awards/Recognition",I am currently not in college,Community college,No,No,Top 25% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",,4,6
Finding knowledge in your studies and finally completing your degree. ,"Time management,Balancing stress,Grad/professional school preparation",,1,3,5,6,7,8,2,4,No,,,Because at the end it’s my decision. ,Motivated,,Yes,Becuase I’ve received great grades and professors see it in me too. ,,"Yes, I have enough resources and feel prepared to achieve my version of academic success. This DOES NOT affect how others see my academic potential.",Somewhat more,I believe it would be harder to find a job. ,"Happy,Gratified,Dignified,Proud,Stressed","Annoyed,Stressed,Anxious","Tests,Time management,Attaining top grades",Fourth year of equivalent,Public institution,Yes,Yes,Top 10% of the class,"NO, my career ambitions have changed A LOT from when I was in high school",No,6,6
To gain knowlegde,"Career preparation,Extracurriculars/Clubs,Grad/professional school preparation",,3,5,6,1,7,4,2,8,Maybe,,,,Motivated,,Yes,i feel good,,"Yes, I have sufficient resources and feel adequately prepared to achieve my version of success. This DOES affect how others see my academic potential - (ex.) they feel that with the surplus of resources available to me I should be achieving higher)",Somewhat more,I feel it willl lead my future good way,"Happy,Relieved,Dignified","Annoyed,Angry","Performance in sports,Major assignments,Internship/Career-oriented work",I am currently not in college,Other,No,Yes,Top 25% of the class,"NO, my career ambitions have changed A LITTLE from when I was in high school",,9,9
